Player 2,
Arm,Result
A,Loss
B,Loss
A,Win
A,Win
A,Loss
B,Win
B,Loss
A,Loss
B,Win
B,Win
B,Win
B,Win
B,Loss
A,Win
A,Loss
B,Loss
A,Loss
B,Loss
A,Win
A,Win
A,Loss
B,Win
B,Win
B,Win
B,Win
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Loss
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Win
B,Loss
B,Loss
B,Loss
B,Win
B,Win
B,Loss
B,Loss
B,Loss
B,Win
B,Win
B,Loss
B,Loss
B,Win
B,Win
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Loss
B,Win
B,Loss
B,Loss
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Win
B,Loss
B,Win
B,Win
B,Loss
B,Win
B,Loss
B,Win
B,Win
B,Win
B,Loss
B,Win
B,Win
B,Win
B,Loss
B,Loss
B,Win
